NUMBER,ITEM,
0,Facilitating Works,
0.1,Toxic Hazadous Contaminated Material Treatment,
0.1.1.1.1,Toxic or Hazardous Material Removal Details,
0.1.1.2.1,Toxic or Hazardous Chemicall Removal,
0.1.2.1.1,Contaminated Ground Material Removal,
0.1.2.2.1,Contaminated Ground Material Treatment,
0.1.3.1.1,Eradication of Dig and Dump Strategy,
0.1.3.2.1,Eradication by Chemical Treatment,
0.2,Major Demolition Works,
0.2.1.1.1,Demolition of Entire Buildings,
0.2.1.2.1,Demolition of Major Parts of Existing Buildings,
0.2.1.3.1,Temporary Propping to Existing Basement Basement Retaining Walls,
0.2.1.4.1,Extra Over Temporary Propping for Providing Wailings,
0.2.1.5.1,Periodic Technical Inspections of Temporary Propping,
0.2.1.6.1,Returning to Site to Reposition Temporary Props,
0.2.1.7.1,Removal of Temporal Props,
0.2.1.8.1,Removal of Wailings,
0.2.1.9.1,Grubbing up of Anchor Blocks Foundations to Temporary Props,
0.2.2.1.1,Preparatory to Demolition,
0.2.2.2.1,Preparatory to Refurbishment,
0.3,Temporary Support to Adjacent Structures,
0.3.1.1.1,Support Structures,
0.3.1.2.1,Taking Down and Repositioning Support Structures,
0.3.1.3.1,Periodic Technical Inspections of Temporary Support Structures,
0.3.1.4.1,Removing Support Structures,
0.4.1.1.1,Site Dewatering,
0.4.2.1.1,Ground Gas Venting,
0.5.1.1.1,Temporary Diversion of Drains,
0.5.1.2.1,Temporary Diversion Services,
0.5.1.3.1,Temporary Diversion Waterways,
0.6.1.1.1,Excavation Works,
0.6.1.2.1,Temporary Screens,
0.6.1.3.1,Attendance on Archeologists,
0.6.2.1.1,Physical Reptile Wildlife Mitigation Measures,
0.6.2.2.1,Temporary Fences Barriers,
0.6.2.3.1,Attendance,
0.6.3.1.1,Physical Site Investigation Works,
0.6.3.2.1,Temporary Screens Fences Barriers,
0.6.3.3.1,Attendance,
1,Substructure,
1.1,Standard Foundations,
1.1.1.1,Strip Foundations,
1.1.2.1,Isolated Pad Foundations,
1.1.3.1,Extra for Disposal of Contaminated Excavated Material,
1.2,Specialist Foundation,
1.2.1.1.1,Piling Mats Platforms,
1.2.1.10.1,Pile Tests,
1.2.1.11.1,Vibro Compacted Columns,
1.2.1.12.1,Pile Caps,
1.2.1.13.1,Ground Beams,
1.2.1.2.1,Piling Plants,
1.2.1.3.1,Moving Piling Rigs to Pile Position,
1.2.1.4.1,Piles,
1.2.1.5.1,Extra for Pile Casings or Linings,
1.2.1.6.1,Caissons,
1.2.1.7.1,Disposal of Excavated Material Arising From Piling,
1.2.1.8.1,Extra for Breaking Through Obstructions,
1.2.1.9.1,Cutting Off Tops of Concrete Piles and Preparing Pile Heads,
1.2.2.1.1,Underpinning,
1.3,Lowest Floor Construction,
1.3.1.1,Lowest Floor Construction,
1.3.10.1,Testing of Drainage Installations,
1.3.11.1,Commissioning of Drainage Installations,
1.3.2.1,Extra Over Lowest Floor Construction for Forming Ramps,
1.3.3.1,Extra Over Lowest Floor Construction for of Lift Pits,
1.3.4.1,Extra Over Lowest Floor Construction for Forming Swimming Pool tanks,
1.3.5.1,Retaining walls at Changes in Levels,
1.3.6.1,Designed Joints,
1.3.7.1,Draining Below Ground,
1.3.8.1,Gullies Floor Outlets,
1.3.9.1,Internal Manholes Catch-Pits Petrol interceptors,
1.4,Basement Excavation,
1.4.1.1,Basement Excavation,
1.4.2.1,Disposal of Excavated Material,
1.4.3.1,Extra for Disposal of Contaminated Excavated Material,
1.4.4.1,Earthwork Support,
1.4.5.1,Additional Excavation,
1.5,Basement Retaining Walls,
1.5.1.1,Basement Retaining Walls,
1.5.2.1.1,Piling Mats Platforms,
1.5.2.10.1,Cutting Off Surplus Lengths Steel Sheet Piling,
1.5.2.11.1,Pile Tests,
1.5.2.12.1,Diaphram Walls,
1.5.2.13.1,Ground Anchors,
1.5.2.14.1,Trimming and Cleaning Faces of Piled and Diaphram Walls,
1.5.2.15.1,Temporary Walls,
1.5.2.16.1,Removal of Temporal Works,
1.5.2.17.1,Capping Beams,
1.5.2.18.1,Basement Retaining Walls Components,
1.5.2.19.1,Concrete Applied by Spray or Gun,
1.5.2.2.1,Walls Piling Plant,
1.5.2.3.1,Moving Piling Rig to Pile Position,
1.5.2.4.1,Guide Walls,
1.5.2.5.1,Piles,
1.5.2.6.1,Contigous Bored Pile Walls,
1.5.2.7.1,Disposal of Excavated Material Arising From Piling,
1.5.2.8.1,Cutting Off Tops of Concrete Piles,
1.5.2.9.1,Steel Sheet Piling,
2,Superstructure,
2.1,Frame,
2.1.1,Steel Frames,
2.1.1.1.1,Structural Steel Frame,
2.1.1.2.1,Fire Protection to Steel Frame,
2.1.1.3.1,Factory Applied Paint Systems,
2.1.2.1.1,Space Frame Deck and Structural Support,
2.1.2.2.1,Fire Protection to Steel,
2.1.2.3.1,Factory Applied Paint Systems,
2.1.3.1.1,Column Casings,
2.1.3.2.1,Beam Casings,
2.1.4,Concrete Frames,
2.1.4.1.1,Columns,
2.1.4.2.1,Beams,
2.1.4.3.1,Walls,
2.1.4.4.1,Extra Over Walls,
2.1.4.5.1,Designed Joints,
2.1.5.1,Timber Frames,
2.1.6.1,Specialists Frames,
2.2,Upper Floors,
2.2.1,Floors,
2.2.1.1.1.1,Suspended Floor Slabs,
