Number,Column1,Group1,Group2,Group3,Group4,Group5,Group6,
0,,Facilitating Works,,,,,,
0.1,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,,,,,
0.1.1,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Toxic or Hazardous Material Removal,,,,
0.1.1.1,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Toxic or Hazardous Material Removal,Toxic or Hazardous Material Removal Details,,,
0.1.1.1.1,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Toxic or Hazardous Material Removal,Toxic or Hazardous Material Removal Details,,Toxic or Hazardous Material Removal Details,
0.1.1.2,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Toxic or Hazardous Material Removal,Toxic or Hazardous Chemicall Removal,,,
0.1.1.2.1,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Toxic or Hazardous Material Removal,Toxic or Hazardous Chemicall Removal,,Toxic or Hazardous Chemicall Removal,
0.1.2,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Contaminated Land,,,,
0.1.2.1,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Contaminated Land,Contaminated Ground Material Removal,,,
0.1.2.1.1,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Contaminated Land,Contaminated Ground Material Removal,,Contaminated Ground Material Removal,
0.1.2.2,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Contaminated Land,Contaminated Ground Material Treatment,,,
0.1.2.2.1,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Contaminated Land,Contaminated Ground Material Treatment,,Contaminated Ground Material Treatment,
0.1.3,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Eradication of Plant Growth,,,,
0.1.3.1,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Eradication of Plant Growth,Eradication of Dig and Dump Strategy,,,
0.1.3.1.1,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Eradication of Plant Growth,Eradication of Dig and Dump Strategy,,Eradication of Dig and Dump Strategy,
0.1.3.2,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Eradication of Plant Growth,Eradication by Chemical Treatment,,,
0.1.3.2.1,,Facilitating Works,Toxic Hazadous Contaminated Material Treatment,Eradication of Plant Growth,Eradication by Chemical Treatment,,Eradication by Chemical Treatment,
0.2,,Facilitating Works,Major Demolition Works,,,,,
0.2.1,,Facilitating Works,Major Demolition Works,Demolition Works,,,,
0.2.1.1,,Facilitating Works,Major Demolition Works,Demolition Works,Demolition of Entire Buildings,,,
0.2.1.1.1,,Facilitating Works,Major Demolition Works,Demolition Works,Demolition of Entire Buildings,,Demolition of Entire Buildings,
0.2.1.2,,Facilitating Works,Major Demolition Works,Demolition Works,Demolition of Major Parts of Existing Buildings,,,
0.2.1.2.1,,Facilitating Works,Major Demolition Works,Demolition Works,Demolition of Major Parts of Existing Buildings,,Demolition of Major Parts of Existing Buildings,
0.2.1.3,,Facilitating Works,Major Demolition Works,Demolition Works,Temporary Propping to Existing Basement Basement Retaining Walls,,,
0.2.1.3.1,,Facilitating Works,Major Demolition Works,Demolition Works,Temporary Propping to Existing Basement Basement Retaining Walls,,Temporary Propping to Existing Basement Basement Retaining Walls,
0.2.1.4,,Facilitating Works,Major Demolition Works,Demolition Works,Extra Over Temporary Propping for Providing Wailings,,,
0.2.1.4.1,,Facilitating Works,Major Demolition Works,Demolition Works,Extra Over Temporary Propping for Providing Wailings,,Extra Over Temporary Propping for Providing Wailings,
0.2.1.5,,Facilitating Works,Major Demolition Works,Demolition Works,Periodic Technical Inspections of Temporary Propping,,,
0.2.1.5.1,,Facilitating Works,Major Demolition Works,Demolition Works,Periodic Technical Inspections of Temporary Propping,,Periodic Technical Inspections of Temporary Propping,
0.2.1.6,,Facilitating Works,Major Demolition Works,Demolition Works,Returning to Site to Reposition Temporary Props,,,
0.2.1.6.1,,Facilitating Works,Major Demolition Works,Demolition Works,Returning to Site to Reposition Temporary Props,,Returning to Site to Reposition Temporary Props,
